sequence_number,V_allele,D_allele,J_allele
0,ighv1-46*03,ighd5-18*01,ighj5*02
1,ighv2-70d*04,ighd4-4*01,ighj6*01
2,ighv1-69*14,ighd3-10*02,ighj4*03
3,ighv3-49*05,ighd6-25*01,ighj3*02
4,ighv1-69d*01,ighd3-3*02,ighj4*03
5,ighv1-18*04,ighd3-3*02,ighj4*03
6,ighv1-69*09,ighd3-22*01,ighj6*04
7,ighv3-74*02,ighd1-26*01,ighj3*02
8,ighv3-9*01,ighd2-8*01,ighj5*02
9,ighv4-59*11,ighd6-6*01,ighj3*02
10,ighv2-70d*04,ighd1-20*01,ighj3*02
11,ighv1-46*03,ighd6-19*01,ighj4*02
12,ighv1-69-2*01,ighd1-1*01,ighj4*03
13,ighv1-58*01,ighd2-8*01,ighj6*04
14,ighv1-2*07,ighd6-6*01,ighj6*01
15,ighv3-49*01,ighd4-17*01,ighj4*02
16,ighv1-3*02,ighd2-21*01,ighj4*02
17,ighv1-18*04,ighd1-1*01,ighj6*01
18,ighv1-8*01,ighd3-10*01,ighj4*02
19,ighv4-38-2*01,ighd1-26*01,ighj4*02
20,ighv1-2*07,ighd6-13*01,ighj4*03
21,ighv4-28*05,ighd1-26*01,ighj6*04
22,ighv1-18*04,ighd1-20*01,ighj5*01
23,ighv1-3*03,ighd3-3*02,ighj6*01
24,ighv3-74*02,ighd5-12*01,ighj4*03
25,ighv3-43*02,ighd3-3*01,ighj3*01
26,ighv1-24*01,ighd5-5*01,ighj5*02
27,ighv4-4*08,ighd4-17*01,ighj5*01
28,ighv1-69d*01,ighd5-5*01,ighj4*03
29,ighv1-69d*01,ighd6-6*01,ighj2*01
30,ighv2-26*03,ighd1-1*01,ighj2*01
31,ighv2-26*03,ighd2-21*01,ighj2*01
32,ighv3-74*02,ighd1-1*01,ighj2*01
33,ighv3-43d*04,ighd6-19*01,ighj6*04
34,ighv2-70d*14,ighd3-3*01,ighj4*02
35,ighv1-58*01,ighd3-16*01,ighj4*02
36,ighv6-1*02,ighd4-4*01,ighj4*03
37,ighv1-45*01,ighd3-16*02,ighj4*03
38,ighv2-26*02,ighd2-8*02,ighj4*03
39,ighv1-69*14,ighd2-8*02,ighj4*03
40,ighv1-46*04,ighd1-26*01,ighj3*02
41,ighv2-26*02,ighd3-16*02,ighj5*01
42,ighv6-1*01,ighd3-22*01,ighj6*04
43,ighv1-69-2*01,ighd1-26*01,ighj2*01
44,ighv1-58*01,ighd6-13*01,ighj4*02
45,ighv1-69-2*01,ighd6-25*01,ighj4*02
46,ighv7-4-1*01,ighd7-27*01,ighj3*02
